"Time","ElapsedSeconds","CPUPercent","VideoDecodePercent","VideoEncodePercent"
"2026-07-13T04:07:27.9268431-07:00","1.87","45.6","45.91","0"
"2026-07-13T04:07:30.0192169-07:00","3.95","27.17","54.65","0"
"2026-07-13T04:07:31.9870010-07:00","5.92","29.16","56.84","0"
"2026-07-13T04:07:33.9181544-07:00","7.85","16.25","59.05","0"
"2026-07-13T04:07:35.8694947-07:00","9.8","10.99","52.13","0"
"2026-07-13T04:07:37.8467486-07:00","11.78","35.82","60.97","0"
"2026-07-13T04:07:39.7839517-07:00","13.72","38.3","60.21","0"
"2026-07-13T04:07:41.7304633-07:00","15.67","11.26","43.17","0"
"2026-07-13T04:07:43.6848652-07:00","17.62","18.02","60.27","0"
"2026-07-13T04:07:45.6390828-07:00","19.57","12.04","58.48","0"
"2026-07-13T04:07:47.5671961-07:00","21.5","29.23","60.65","0"
"2026-07-13T04:07:49.5178974-07:00","23.45","21.48","59.59","0"
"2026-07-13T04:07:51.4653060-07:00","25.4","24.7","43.54","0"
"2026-07-13T04:07:53.4163373-07:00","27.35","22.59","59.95","0"
"2026-07-13T04:07:55.3847357-07:00","29.32","23.51","59.29","0"
"2026-07-13T04:07:57.3175213-07:00","31.25","34.79","59.91","0"
"2026-07-13T04:07:59.2818311-07:00","33.22","28.61","60.5","0"
"2026-07-13T04:08:01.2766883-07:00","35.21","35.08","60.41","0"
"2026-07-13T04:08:03.2189300-07:00","37.15","18.03","61.02","0"
"2026-07-13T04:08:05.1506159-07:00","39.09","21.88","60.38","0"
"2026-07-13T04:08:07.0838533-07:00","41.02","20","61.16","0"
"2026-07-13T04:08:09.0347200-07:00","42.97","23.9","55.72","0"
"2026-07-13T04:08:10.9787490-07:00","44.91","16.39","59.98","0"
"2026-07-13T04:08:12.9267154-07:00","46.86","18.93","60.58","0"
"2026-07-13T04:08:14.8778609-07:00","48.81","12.09","60.18","0"
"2026-07-13T04:08:16.8098387-07:00","50.74","10.96","59.25","0"
"2026-07-13T04:08:18.7702258-07:00","52.71","38.94","48.48","0"
"2026-07-13T04:08:20.7695643-07:00","54.7","24.08","59.8","0"
"2026-07-13T04:08:22.7026551-07:00","56.64","16.51","60.09","0"
"2026-07-13T04:08:24.6499014-07:00","58.58","11.81","59.57","0"
"2026-07-13T04:08:26.6246107-07:00","60.56","0","0","0"
