"Time","Streams","ElapsedSeconds","CPUPercent","VideoDecodePercent","VideoEncodePercent"
"2026-07-13T05:46:29.9117078-07:00","2","0.1","32.87","0","0"
"2026-07-13T05:46:33.7603675-07:00","2","4","53.63","72.18","0"
"2026-07-13T05:46:37.4989207-07:00","2","7.8","5.91","70.2","0"
"2026-07-13T05:46:41.1875386-07:00","2","11.5","37.54","71.43","0"
"2026-07-13T05:46:44.9179956-07:00","2","15.2","34.01","72.31","0"
"2026-07-13T05:46:48.6794530-07:00","2","18.9","14.79","72.42","0"
"2026-07-13T05:46:52.3691289-07:00","2","22.7","13.49","71.13","0"
"2026-07-13T05:46:56.1866044-07:00","2","26.4","26.76","70","0"
"2026-07-13T05:46:59.9325892-07:00","2","30.2","3.03","69.87","0"
"2026-07-13T05:47:03.7424083-07:00","2","33.9","20.72","70.66","0"
"2026-07-13T05:47:07.4710165-07:00","2","37.7","8.41","70.32","0"
"2026-07-13T05:47:11.1899967-07:00","2","41.5","35.85","71.41","0"
"2026-07-13T05:47:14.9113859-07:00","2","45.2","31.36","71.41","0"
"2026-07-13T05:47:18.6514770-07:00","2","48.9","0","70.03","0"
"2026-07-13T05:47:22.4140211-07:00","2","52.6","51.56","71.49","0"
"2026-07-13T05:47:26.1428036-07:00","2","56.4","2.14","69.11","0"
"2026-07-13T05:47:29.9452841-07:00","2","60.1","0","0","0"
"2026-07-13T05:47:36.9253953-07:00","4","0","37.24","0.01","0"
"2026-07-13T05:47:41.0372170-07:00","4","3.9","29","100.47","0"
"2026-07-13T05:47:45.1623238-07:00","4","8","44.05","100.48","0"
"2026-07-13T05:47:49.2382806-07:00","4","12.1","21.56","100.15","0"
"2026-07-13T05:47:53.3179514-07:00","4","16.2","24.75","99.8","0"
"2026-07-13T05:47:57.4475913-07:00","4","20.3","36.77","101.34","0"
"2026-07-13T05:48:01.5300713-07:00","4","24.4","34.1","99.74","0"
"2026-07-13T05:48:05.7004686-07:00","4","28.5","29.52","100.22","0"
"2026-07-13T05:48:09.7506499-07:00","4","32.7","28.38","100.07","0"
"2026-07-13T05:48:14.0039162-07:00","4","36.7","39.56","100.4","0"
"2026-07-13T05:48:18.1308724-07:00","4","41","28.88","100.5","0"
"2026-07-13T05:48:22.2621065-07:00","4","45.1","36.03","99.84","0"
"2026-07-13T05:48:26.3858387-07:00","4","49.2","36.07","99.91","0"
"2026-07-13T05:48:30.4223409-07:00","4","53.4","10.44","100.55","0"
"2026-07-13T05:48:34.4997364-07:00","4","57.4","28.92","100.12","0"
"2026-07-13T05:48:38.5350223-07:00","4","61.5","17.62","100.17","0"
"2026-07-13T05:48:42.5673662-07:00","4","65.5","24.55","99.99","0"
"2026-07-13T05:48:46.5816965-07:00","4","69.5","17.61","100.29","0"
"2026-07-13T05:48:50.5950057-07:00","4","73.6","17.19","99.82","0"
"2026-07-13T05:48:54.6421357-07:00","4","77.6","28.25","100.6","0"
"2026-07-13T05:48:58.6506551-07:00","4","81.6","14.6","100.54","0"
