Timestamp,ElapsedMinutes,HttpStatus,DockerHealthy,DockerRunning,RestartTotal,CpuPercent,AvailableMB,DiskReadBps,DiskWriteBps,NetRecvBps,NetSendBps,Error
"2026-07-11T09:27:26.8830080-07:00",0.0,200,3,3,0,27,5472,0,230439,1180,220,""
"2026-07-11T09:32:30.9180547-07:00",5.1,200,3,3,0,15,6074,0,4036,168,113,""
"2026-07-11T09:37:34.6009901-07:00",10.1,200,3,3,0,39,6035,0,32754,170,114,""
"2026-07-11T09:42:38.2207076-07:00",15.2,200,3,3,0,7,6070,4566,85747,693,114,""
"2026-07-11T09:47:41.8551898-07:00",20.3,200,3,3,0,0,6083,0,186452,1956,2345,""
"2026-07-11T09:52:45.5490962-07:00",25.3,200,3,3,0,5,6073,0,32566,368,298,""
"2026-07-11T09:57:49.1846224-07:00",30.4,200,3,3,0,0,6205,0,40872,139,137,""
"2026-07-11T10:02:52.8789316-07:00",35.4,200,3,3,0,2,6149,0,72896,0,0,""
"2026-07-11T10:07:56.5157728-07:00",40.5,200,3,3,0,22,6204,4575,2208860,1074971,12943,""
"2026-07-11T10:13:00.1648661-07:00",45.6,200,3,3,0,9,6250,0,40512,0,0,""
"2026-07-11T10:18:03.7874254-07:00",50.6,200,3,3,0,0,6264,392506,147190,0,0,""
"2026-07-11T10:23:07.4371676-07:00",55.7,200,3,3,0,14,6480,0,56677,4510,4124,""
"2026-07-11T10:28:11.0887615-07:00",60.7,200,3,3,0,18,6574,0,177934,138,53,""
"2026-07-11T10:33:14.8530477-07:00",65.8,200,3,3,0,10,6696,4554,20748,59,53,""
"2026-07-11T10:38:18.5162331-07:00",70.9,200,3,3,0,9,6687,0,0,686,879,""
"2026-07-11T10:43:22.1508407-07:00",75.9,200,3,3,0,16,6755,0,12130,685,655,""
"2026-07-11T10:48:25.7833475-07:00",81.0,200,3,3,0,15,6738,0,141808,511,333,""
"2026-07-11T10:53:29.4163266-07:00",86.0,200,3,3,0,8,6800,0,0,356,0,""
"2026-07-11T10:58:33.0606288-07:00",91.1,200,3,3,0,20,6801,4598,462387,0,57,""
"2026-07-11T11:03:36.7337799-07:00",96.2,200,3,3,0,32,6756,0,357330,226,54,""
"2026-07-11T11:08:40.3603117-07:00",101.2,200,3,3,0,1,6730,4543,125686,119,179,""
"2026-07-11T11:13:44.0050679-07:00",106.3,200,3,3,0,6,6725,0,174414,0,0,""
"2026-07-11T11:18:47.6107731-07:00",111.3,200,3,3,0,14,6713,0,137859,0,0,""
"2026-07-11T11:23:51.2331253-07:00",116.4,200,3,3,0,2,6742,0,16312,0,54,""
"2026-07-11T11:28:54.8419692-07:00",121.5,200,3,3,0,6,6720,0,12095,0,0,""
"2026-07-11T11:33:58.5342725-07:00",126.5,200,3,3,0,0,6717,4582,53458,0,0,""
"2026-07-11T11:39:02.1512780-07:00",131.6,200,3,3,0,7,6762,0,36369,289843,3880,""
"2026-07-11T11:44:05.7552073-07:00",136.7,200,3,3,0,52,6720,0,354986,0,0,""
"2026-07-11T11:49:09.3647474-07:00",141.7,200,3,3,0,8,6720,0,283269,0,0,""
"2026-07-11T11:54:12.9834637-07:00",146.8,200,3,3,0,37,6738,0,56635,259,249,""
"2026-07-11T11:59:16.5936604-07:00",151.8,200,3,3,0,14,6715,4567,154779,0,0,""
"2026-07-11T12:04:20.2219191-07:00",156.9,200,3,3,0,2,6656,0,535298,500,1335,""
"2026-07-11T12:09:23.8497856-07:00",162.0,200,3,3,0,12,6709,0,48640,0,0,""
"2026-07-11T12:14:27.5099995-07:00",167.0,200,3,3,0,5,6665,0,20276,0,0,""
"2026-07-11T12:19:31.1688028-07:00",172.1,200,3,3,0,20,6686,0,114088,286908,6792,""
"2026-07-11T12:24:34.8223143-07:00",177.1,200,3,3,0,2,6715,4553,40977,3578,4330,""
"2026-07-11T12:29:38.4324099-07:00",182.2,200,3,3,0,0,6677,0,0,0,0,""
"2026-07-11T12:34:42.1218862-07:00",187.3,200,3,3,0,9,6665,0,65107,686,656,""
"2026-07-11T12:39:45.7128937-07:00",192.3,200,3,3,0,1,6671,0,40606,0,0,""
"2026-07-11T12:44:49.3316745-07:00",197.4,200,3,3,0,6,6667,0,130269,0,0,""
"2026-07-11T12:49:52.9471424-07:00",202.4,200,3,3,0,29,6665,4554,57181,0,0,""
