"Time","CPUPercent","UsedMemoryMB","FreeMemoryMB","Docker"
"2026-07-13T09:41:53.6730079-07:00","26.76","10354","5793","eqi12-jellyfin|0.01%|146MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.31MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.254MiB / 7.638GiB; eqi12-docker-test-cache-1|0.35%|127.2MiB / 7.638GiB"
"2026-07-13T09:42:02.9329631-07:00","9.47","10322","5825","eqi12-jellyfin|0.02%|145.6MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.35MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.141MiB / 7.638GiB; eqi12-docker-test-cache-1|0.24%|127MiB / 7.638GiB"
"2026-07-13T09:42:12.1484064-07:00","13.38","10279","5868","eqi12-jellyfin|0.02%|145.6MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.43MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.348MiB / 7.638GiB; eqi12-docker-test-cache-1|0.47%|126.9MiB / 7.638GiB"
"2026-07-13T09:42:21.3703605-07:00","11.15","10280","5867","eqi12-jellyfin|0.01%|146.1MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.45MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.621MiB / 7.638GiB; eqi12-docker-test-cache-1|0.39%|126.8MiB / 7.638GiB"
"2026-07-13T09:42:30.0907717-07:00","12.75","10203","5944","eqi12-jellyfin|0.03%|145.9MiB / 7.638GiB; eqi12-docker-test-database-1|4.23%|39.54MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.848MiB / 7.638GiB; eqi12-docker-test-cache-1|0.30%|127.3MiB / 7.638GiB"
"2026-07-13T09:42:39.0339309-07:00","25.2","10271","5876","eqi12-jellyfin|0.01%|145.9MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.28MiB / 7.638GiB; eqi12-docker-test-web-1|2.15%|8.734MiB / 7.638GiB; eqi12-docker-test-cache-1|0.19%|126.9MiB / 7.638GiB"
"2026-07-13T09:42:48.0209541-07:00","19.6","10256","5891","eqi12-jellyfin|0.01%|146.2MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.45MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.676MiB / 7.638GiB; eqi12-docker-test-cache-1|0.27%|126.9MiB / 7.638GiB"
"2026-07-13T09:42:57.0841145-07:00","36.88","10041","6106","eqi12-jellyfin|0.01%|146.1MiB / 7.638GiB; eqi12-docker-test-database-1|0.01%|39.27MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.441MiB / 7.638GiB; eqi12-docker-test-cache-1|0.21%|127.1MiB / 7.638GiB"
"2026-07-13T09:43:06.0896601-07:00","22.74","10041","6106","eqi12-jellyfin|0.03%|145.7MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.35MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.637MiB / 7.638GiB; eqi12-docker-test-cache-1|0.41%|127MiB / 7.638GiB"
"2026-07-13T09:43:15.3558681-07:00","21.31","10056","6091","eqi12-jellyfin|0.01%|146.6MiB / 7.638GiB; eqi12-docker-test-database-1|0.00%|39.32MiB / 7.638GiB; eqi12-docker-test-web-1|0.00%|8.621MiB / 7.638GiB; eqi12-docker-test-cache-1|0.19%|127.1MiB / 7.638GiB"
